EntrezID	GeneSymbol	Synonyms	GeneName	Chromosome
156	241	ALOX5AP	FLAP	arachidonate 5-lipoxygenase-activating protein	chr13
157	242	ALOX12B	12R-LOX|ARCI2	arachidonate 12-lipoxygenase, 12R type	chr17
158	245	ALOX12P2	ALOX12E	arachidonate 12-lipoxygenase pseudogene 2	chr17
159	246	ALOX15	15-LOX-1|15LOX-1	arachidonate 15-lipoxygenase	chr17
160	247	ALOX15B	15-LOX-2	arachidonate 15-lipoxygenase, type B	chr17
161	248	ALPI	IAP	alkaline phosphatase, intestinal	chr2
162	249	ALPL	AP-TNAP|APTNAP|HOPS|TNAP|TNSALP	alkaline phosphatase, liver/bone/kidney	chr1
163	250	ALPP	ALP|PALP|PLAP|PLAP-1	alkaline phosphatase, placental	chr2
164	251	ALPPL2	ALPG|ALPPL|GCAP	alkaline phosphatase, placental-like 2	chr2
165	257	ALX3	FND1	ALX homeobox 3	chr1
166	258	AMBN	-	ameloblastin (enamel matrix protein)	chr4
167	259	AMBP	A1M|EDC1|HCP|HI30|IATIL|ITI|ITIL|ITILC|UTI	alpha-1-microglobulin/bikunin precursor	chr9
168	262	AMD1	ADOMETDC|AMD|SAMDC	adenosylmethionine decarboxylase 1	chr6
169	265	AMELX	AI1E|AIH1|ALGN|AMG|AMGL|AMGX	amelogenin, X-linked	chrX
170	266	AMELY	AMGL|AMGY	amelogenin, Y-linked	chrY
171	267	AMFR	GP78|RNF45	autocrine motility factor receptor, E3 ubiquitin protein ligase	chr16
172	268	AMH	MIF|MIS	anti-Mullerian hormone	chr19
173	269	AMHR2	AMHR|MISR2|MISRII|MRII	anti-Mullerian hormone receptor, type II	chr12
174	270	AMPD1	MAD|MADA	adenosine monophosphate deaminase 1	chr1
175	271	AMPD2	-	adenosine monophosphate deaminase 2	chr1
176	272	AMPD3	-	adenosine monophosphate deaminase 3	chr11
177	273	AMPH	AMPH1	amphiphysin	chr7
178	274	BIN1	AMPH2|AMPHL|SH3P9	bridging integrator 1	chr2
179	275	AMT	GCE|GCST|GCVT|NKH	aminomethyltransferase	chr3
180	283	ANG	ALS9|HEL168|RNASE4|RNASE5	angiogenin, ribonuclease, RNase A family, 5	chr14
181	284	ANGPT1	AGP1|AGPT|ANG1	angiopoietin 1	chr8
182	285	ANGPT2	AGPT2|ANG2	angiopoietin 2	chr8
183	286	ANK1	ANK|SPH1|SPH2	ankyrin 1, erythrocytic	chr8
184	287	ANK2	ANK-2|LQT4|brank-2	ankyrin 2, neuronal	chr4
185	288	ANK3	ANKYRIN-G	ankyrin 3, node of Ranvier (ankyrin G)	chr10
186	290	ANPEP	APN|CD13|GP150|LAP1|P150|PEPN	alanyl (membrane) aminopeptidase	chr15
187	291	SLC25A4	1|AAC1|ANT|ANT 1|ANT1|PEO2|PEO3|T1	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	chr4
188	292	SLC25A5	2F1|AAC2|ANT2|T2|T3	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5	chrX
189	301	ANXA1	ANX1|LPC1	annexin A1	chr9
190	302	ANXA2	ANX2|ANX2L4|CAL1H|LIP2|LPC2|LPC2D|P36|PAP-IV	annexin A2	chr15
191	306	ANXA3	ANX3	annexin A3	chr4
192	307	ANXA4	ANX4|PIG28|ZAP36	annexin A4	chr2
193	308	ANXA5	ANX5|ENX2|PP4|RPRGL3	annexin A5	chr4
194	309	ANXA6	ANX6|CBP68	annexin A6	chr5
195	310	ANXA7	ANX7|SNX|SYNEXIN	annexin A7	chr10
196	311	ANXA11	ANX11|CAP50	annexin A11	chr10
197	312	ANXA13	ANX13|ISA	annexin A13	chr8
198	313	AOAH	-	acyloxyacyl hydrolase (neutrophil)	chr7
199	314	AOC2	DAO2|RAO	amine oxidase, copper containing 2 (retina-specific)	chr17
200	316	AOX1	AO|AOH1	aldehyde oxidase 1	chr2
201	317	APAF1	APAF-1|CED4	apoptotic peptidase activating factor 1	chr12
202	318	NUDT2	APAH1	nudix (nucleoside diphosphate linked moiety X)-type motif 2	chr9
203	319	APOF	Apo-F|LTIP	apolipoprotein F	chr12
204	320	APBA1	D9S411E|LIN10|MINT1|X11|X11A|X11ALPHA	amyloid beta (A4) precursor protein-binding, family A, member 1	chr9
205	321	APBA2	D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L	amyloid beta (A4) precursor protein-binding, family A, member 2	chr15
206	322	APBB1	FE65|MGC:9072|RIR	amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)	chr11
207	323	APBB2	FE65L|FE65L1	amyloid beta (A4) precursor protein-binding, family B, member 2	chr4
208	324	APC	BTPS2|DP2|DP2.5|DP3|GS|PPP1R46	adenomatous polyposis coli	chr5
209	325	APCS	PTX2|SAP	amyloid P component, serum	chr1
210	326	AIRE	AIRE1|APECED|APS1|APSI|PGA1	autoimmune regulator	chr21
211	327	APEH	AARE|ACPH|APH|D3F15S2|D3S48E|DNF15S2|OPH	acylaminoacyl-peptide hydrolase	chr3
212	328	APEX1	APE|APE1|APEN|APEX|APX|HAP1|REF1	APEX nuclease (multifunctional DNA repair enzyme) 1	chr14
213	329	BIRC2	API1|HIAP2|Hiap-2|MIHB|RNF48|c-IAP1|cIAP1	baculoviral IAP repeat containing 2	chr11
214	330	BIRC3	AIP1|API2|CIAP2|HAIP1|HIAP1|MALT2|MIHC|RNF49|c-IAP2	baculoviral IAP repeat containing 3	chr11
215	332	BIRC5	API4|EPR-1	baculoviral IAP repeat containing 5	chr17
216	333	APLP1	APLP	amyloid beta (A4) precursor-like protein 1	chr19
217	334	APLP2	APLP-2|APPH|APPL2|CDEBP	amyloid beta (A4) precursor-like protein 2	chr11
218	335	APOA1	-	apolipoprotein A-I	chr11
219	336	APOA2	Apo-AII|ApoA-II|apoAII	apolipoprotein A-II	chr1
220	337	APOA4	-	apolipoprotein A-IV	chr11
221	338	APOB	FLDB|LDLCQ4	apolipoprotein B	chr2
222	339	APOBEC1	APOBEC-1|BEDP|CDAR1|HEPR	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1	chr12
223	341	APOC1	-	apolipoprotein C-I	chr19
224	343	AQP8	AQP-8	aquaporin 8	chr16
225	344	APOC2	APO-CII|APOC-II	apolipoprotein C-II	chr19
226	345	APOC3	APOCIII|HALP2	apolipoprotein C-III	chr11
227	347	APOD	-	apolipoprotein D	chr3
228	348	APOE	AD2|LDLCQ5|LPG	apolipoprotein E	chr19
229	350	APOH	B2G1|B2GP1|BG	apolipoprotein H (beta-2-glycoprotein I)	chr17
230	351	APP	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	amyloid beta (A4) precursor protein	chr21
231	353	APRT	AMP|APRTD	adenine phosphoribosyltransferase	chr16
232	354	KLK3	APS|KLK2A1|PSA|hK3	kallikrein-related peptidase 3	chr19
233	355	FAS	ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6	Fas cell surface death receptor	chr10
234	356	FASLG	ALPS1B|APT1LG1|APTL|CD178|CD95-L|CD95L|FASL|TNFSF6	Fas ligand (TNF superfamily, member 6)	chr1
235	357	SHROOM2	APXL|HSAPXL	shroom family member 2	chrX
236	358	AQP1	AQP-CHIP|CHIP28|CO	aquaporin 1 (Colton blood group)	chr7
237	359	AQP2	AQP-CD|WCH-CD	aquaporin 2 (collecting duct)	chr12
238	360	AQP3	AQP-3|GIL	aquaporin 3 (Gill blood group)	chr9
239	361	AQP4	HMIWC2|MIWC	aquaporin 4	chr18
240	362	AQP5	AQP-5	aquaporin 5	chr12
241	363	AQP6	AQP2L|KID	aquaporin 6, kidney specific	chr12
242	364	AQP7	AQP7L|AQP9|AQPap|GLYCQTL	aquaporin 7	chr9
243	366	AQP9	AQP-9|HsT17287|SSC1	aquaporin 9	chr15
244	367	AR	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	androgen receptor	chrX
245	368	ABCC6	ABC34|ARA|EST349056|GACI2|MLP1|MOAT-E|MOATE|MRP6|PXE|PXE1|URG7	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	chr16
246	369	ARAF	A-RAF|ARAF1|PKS2|RAFA1	v-raf murine sarcoma 3611 viral oncogene homolog	chrX
247	372	ARCN1	COPD	archain 1	chr11
248	373	TRIM23	ARD1|ARFD1|RNF46	tripartite motif containing 23	chr5
249	375	ARF1	-	ADP-ribosylation factor 1	chr1
250	377	ARF3	-	ADP-ribosylation factor 3	chr12
251	378	ARF4	ARF2	ADP-ribosylation factor 4	chr3
252	379	ARL4D	ARF4L|ARL6	ADP-ribosylation factor-like 4D	chr17
253	381	ARF5	-	ADP-ribosylation factor 5	chr7
254	382	ARF6	-	ADP-ribosylation factor 6	chr14
255	383	ARG1	-	arginase 1	chr6
256	384	ARG2	-	arginase 2	chr14
257	387	RHOA	ARH12|ARHA|RHO12|RHOH12	ras homolog family member A	chr3
258	388	RHOB	ARH6|ARHB|MST081|MSTP081|RHOH6	ras homolog family member B	chr2
259	389	RHOC	ARH9|ARHC|H9|RHOH9	ras homolog family member C	chr1
260	390	RND3	ARHE|Rho8|RhoE|memB	Rho family GTPase 3	chr2
261	391	RHOG	ARHG	ras homolog family member G	chr11
262	392	ARHGAP1	CDC42GAP|RHOGAP|RHOGAP1|p50rhoGAP	Rho GTPase activating protein 1	chr11
263	393	ARHGAP4	C1|RGC1|RhoGAP4|SrGAP4|p115	Rho GTPase activating protein 4	chrX
264	394	ARHGAP5	GFI2|RhoGAP5|p190-B|p190BRhoGAP	Rho GTPase activating protein 5	chr14
265	395	ARHGAP6	RHOGAP6|RHOGAPX-1	Rho GTPase activating protein 6	chrX
266	396	ARHGDIA	GDIA1|NPHS8|RHOGDI|RHOGDI-1	Rho GDP dissociation inhibitor (GDI) alpha	chr17
267	397	ARHGDIB	D4|GDIA2|GDID4|LYGDI|Ly-GDI|RAP1GN1|RhoGDI2	Rho GDP dissociation inhibitor (GDI) beta	chr12
268	398	ARHGDIG	RHOGDI-3	Rho GDP dissociation inhibitor (GDI) gamma	chr16
269	399	RHOH	ARHH|TTF	ras homolog family member H	chr4
270	400	ARL1	ARFL1	ADP-ribosylation factor-like 1	chr12
271	401	PHOX2A	ARIX|CFEOM2|FEOM2|NCAM2|PMX2A	paired-like homeobox 2a	chr11
272	403	ARL3	ARFL3	ADP-ribosylation factor-like 3	chr10
273	405	ARNT	HIF-1-beta|HIF-1beta|HIF1-beta|HIF1B|HIF1BETA|TANGO|bHLHe2	aryl hydrocarbon receptor nuclear translocator	chr1
274	406	ARNTL	BMAL1|BMAL1c|JAP3|MOP3|PASD3|TIC|bHLHe5	aryl hydrocarbon receptor nuclear translocator-like	chr11
275	407	ARR3	ARRX	arrestin 3, retinal (X-arrestin)	chrX
276	408	ARRB1	ARB1|ARR1	arrestin, beta 1	chr11
277	409	ARRB2	ARB2|ARR2|BARR2	arrestin, beta 2	chr17
278	410	ARSA	MLD	arylsulfatase A	chr22
279	411	ARSB	ASB|G4S|MPS6	arylsulfatase B	chr5
280	412	STS	ARSC|ARSC1|ASC|ES|SSDD|XLI	steroid sulfatase (microsomal), isozyme S	chrX
281	414	ARSD	ASD	arylsulfatase D	chrX
282	415	ARSE	ASE|CDPX|CDPX1|CDPXR	arylsulfatase E (chondrodysplasia punctata 1)	chrX
283	416	ARSF	ASF	arylsulfatase F	chrX
284	417	ART1	ART2|ARTC1|CD296|RT6	ADP-ribosyltransferase 1	chr11
285	419	ART3	ARTC3	ADP-ribosyltransferase 3	chr4
286	420	ART4	ARTC4|CD297|DO|DOK1	ADP-ribosyltransferase 4 (Dombrock blood group)	chr12
287	421	ARVCF	-	armadillo repeat gene deleted in velocardiofacial syndrome	chr22
288	427	ASAH1	AC|ACDase|ASAH|PHP|PHP32|SMAPME	N-acylsphingosine amidohydrolase (acid ceramidase) 1	chr8
289	429	ASCL1	ASH1|HASH1|MASH1|bHLHa46	achaete-scute complex homolog 1 (Drosophila)	chr12
290	430	ASCL2	ASH2|HASH2|MASH2|bHLHa45	achaete-scute complex homolog 2 (Drosophila)	chr11
291	432	ASGR1	ASGPR|ASGPR1|CLEC4H1|HL-1	asialoglycoprotein receptor 1	chr17
292	433	ASGR2	ASGP-R2|ASGPR2|CLEC4H2|HBXBP|HL-2	asialoglycoprotein receptor 2	chr17
293	435	ASL	ASAL	argininosuccinate lyase	chr7
294	439	ASNA1	ARSA-I|ARSA1|ASNA-I|GET3|TRC40|hASNA-I	arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)	chr19
